event,version,release,role,source_url,network_snr,mass1_source_msun,mass2_source_msun,mass_ratio,chi_eff,chi_p,primary_spin_upper,secondary_spin_upper,final_mass_source_msun,final_mass_detector_msun,final_spin,higher_mode_evidence,ringdown_evidence,notes
GW250114_082203,v1,O4_Discovery_Papers,primary_ringdown_benchmark,https://gwosc.org/eventapi/html/O4_Discovery_Papers/GW250114_082203/v1,,33.6,32.2,0.91,-0.03,0.11,0.24,0.26,62.7,68.1,0.68,network_snr_lm44_mode_3p6,220_plus_221_supported,"Primary current Kerr-ringdown benchmark in this project; not Schwarzschild-like remnant."
GW250207_115645,v1,O4_Discovery_Papers,candidate_high_snr_followup,https://gwosc.org/eventapi/html/O4_Discovery_Papers/GW250207_115645/v1/,68.91,35.2,30.6,0.87,0.00,0.06,,,62.7,,0.69,unknown,pending_manual_review,"High-SNR O4 discovery-paper event with public strain and combined PE; no dedicated local spectroscopy review yet."
GW190814,v3,GWTC-2.1-confident,low_spin_high_mass_ratio_inspiral,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190814/v3/,22.2,23.2,2.6,0.112,0.00,,0.07,,25.7,,0.28,strong_higher_modes_in_literature,not_primary_ringdown,"Good low-spin/high-mass-ratio inspiral and higher-mode benchmark; not a Schwarzschild remnant."
GW190412,v4,GWTC-2.1-confident,higher_mode_control,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190412/v4/,19.8,27.7,9.0,0.32,0.21,,,,35.6,,0.66,strong_higher_modes,not_primary_ringdown,"Useful higher-mode and unequal-mass control event; progenitor spin not low enough for Schwarzschild-like classification."
