"dataset","parameter","samples","median","q16","q84","q05","q95"
"PYRING_220_221_filtered","dtau_221",61834,0.149081604,-0.31826537,0.678252781,-0.528635754,0.892095193
"PYRING_220_221_filtered","df_221_log",61834,0.24928282508307462,0.06485813489940069,0.42873860952097176,-0.10151058582410029,0.5403757972324432
"PYRING_220_221_filtered","dtau_221_log",61834,0.13896301810274347,-0.38311480243173845,0.5177532409186221,-0.7521241377715252,0.6376847827889557
"PYRING_220_221_filtered","f_220",61834,247.340651,241.564212,254.593948,238.235541,260.076784
"PYRING_220_221_filtered","f_221_corrected",61834,308.999878,263.962575,364.655505,227.574674,405.977512
"RINGDOWN_220_221","df_221",120000,0.09145256973628726,-0.10868170518406224,0.2898443869759655,-0.1925603542144031,0.4037057330493209
"RINGDOWN_220_221","f_220",120000,250.16458882424746,242.7863142995556,259.0303636909358,238.84816178404802,265.84802316680305
"RINGDOWN_220_221","f_221",120000,268.31936309678355,229.23836931670309,317.0870868356879,211.47882606286169,351.9893294845272
"RINGDOWN_220_221","f_221_inferred_kerr",120000,244.4014359576152,236.231621341051,254.61457388342842,231.86043850763627,262.2585256075522
