"projection","zero_outside_empirical_90pct_count","max_nominal_abs_median_over_sd","max_nominal_row","max_abs_interval_asymmetry","max_asymmetry_row"
"RINGDOWN",0,0.4847808716760286,"lambda_odd minus",0.04736642966849264,"epsilon1 plus"
"PYRING_DELTA",0,1.2863917434132182,"epsilon2 minus",0.30212729803120486,"epsilon3 plus"
