"scenario","samples","zero_outside_90pct_count","max_sigma_from_zero","max_sigma_row","tightest_alpha_sigma","tightest_row"
"strict_df_bound_0p5",61594,0,1.2897398123186186,"epsilon1 plus",0.022896952465508963,"epsilon1 minus"
"public_df_bound_0p8",61834,0,1.2219991889766788,"epsilon1 plus",0.02380837355590317,"epsilon1 minus"
"loose_df_bound_1p2",62015,0,1.139422074768265,"epsilon1 plus",0.025017922619753587,"epsilon1 minus"
"positive_domain_only",62777,0,0.5276883444411381,"epsilon1 plus",0.03709394250093954,"epsilon1 minus"
