case,alpha,ell,n,horizon_outer,r_peak,x_min,x_max,reference_source,reference_Momega_real,reference_Momega_imag_abs,fit_t_start,fit_t_stop,fit_width,td_Momega_real,td_Momega_imag_abs,delta_real_pct,delta_imag_pct,relative_residual
bardeen_alpha_0_axial_l2_n0,0.0,2,0,2.0,3.2807763984977125,-38.617070876910496,709.3207289213849,Ulhoa_2013_ThirdOrderWKB,0.3731620888,0.08921749033,120.0,200.0,80.0,0.3738116212429336,0.08896407507738295,0.17406174486329193,-0.2840421218751012,0.0008961162724998384
bardeen_alpha_0.3_axial_l2_n0,0.3,2,0,1.9296168431009564,2.94208366699715,-39.25769968094896,710.2087804646823,Ulhoa_2013_ThirdOrderWKB,0.4066400107,0.08797961013,70.0,190.0,120.0,0.40619571137534805,0.08721170309628537,-0.10926109407855013,-0.8728238651887131,0.00042322109158331997
bardeen_alpha_extremal_axial_l2_n0,0.769800358919501,2,0,1.088662107903635,1.7612706849078168,-1777733.768133237,714.7929498997983,Ulhoa_2013_ThirdOrderWKB,0.7828924561,0.0762228629,70.0,190.0,120.0,0.7830658243473639,0.0767433679318137,0.022144580141639482,0.6828725818086648,0.0038743534864534796
