"operator","polarization","relative_sensitivity_220","relative_sensitivity_221","relative_sensitivity_222","amplification_221_over_220","amplification_222_over_220"
"lambda_ev","plus",0.6461081057152851,0.7932447165336246,0.7354539865977713,1.227727542058073,1.1382831759765253
"lambda_ev","minus",0.5360848119872664,1.268487496483097,2.411960354333158,2.3662067421399495,4.499214117616988
"lambda_odd","plus",0.632913375439736,0.9631045445439879,1.0961097423928001,1.521700412595707,1.73184796676361
"lambda_odd","minus",0.632913375439736,0.9631045445439879,1.0961097423928001,1.521700412595707,1.73184796676361
"epsilon1","plus",3.3670865994313663,1.8030404404600768,2.51123581776085,0.5354897734927799,0.7458186012159436
"epsilon1","minus",2.3161277899265396,7.638896124623422,16.144109379218854,3.298132407826126,6.970301660138923
"epsilon2","plus",2.5579943098732336,2.8074427541789277,4.486651626339534,1.097517200621942,1.7539724811044943
"epsilon2","minus",3.478397379671689,7.5016030004807055,12.637511917188162,2.1566262222715764,3.6331420875153033
"epsilon3","plus",0.733698202057353,0.6138060540393329,1.46580603737137,0.8365920106089503,1.9978323965645866
"epsilon3","minus",0.733698202057353,0.6138060540393329,1.46580603737137,0.8365920106089503,1.9978323965645866
