"mode","operator","parity","polarization","maximum_fit_order","example_alpha","kerr_Momega_re","kerr_Momega_im","shift_per_alpha_re","shift_per_alpha_im","relative_complex_sensitivity_per_alpha","dln_frequency_dalpha","dln_tau_dalpha","example_frequency_shift_percent","example_tau_shift_percent","corrected_f_Hz","corrected_tau_ms"
"220","lambda_ev","preserving","plus",10,0.001,0.5239751042900839,-0.08151262363119871,0.2198709621728524,-0.2627601274308468,0.6461081057152851,0.419621009419423,-3.2235513436507297,0.041962100941939084,-0.3213193449589147,248.7232295580495,4.101795895947761
"220","lambda_ev","preserving","minus",10,0.001,0.5239751042900839,-0.08151262363119871,-0.20835923509724869,0.1933855498504798,0.5360848119872664,-0.39765102080479103,2.372461359180961,-0.03976510208048012,0.23781033174092858,248.5200402817539,4.1248041841606335
"220","lambda_odd","breaking","plus",11,0.001,0.5239751042900839,-0.08151262363119871,-0.2217681111547386,0.2519116893907256,0.632913375439736,-0.42324169476564105,3.090462288767591,-0.0423241694765597,0.31000428543024316,248.51367795644515,4.1277749785271824
"220","lambda_odd","breaking","minus",11,0.001,0.5239751042900839,-0.08151262363119871,0.2217681111547386,-0.2519116893907256,0.632913375439736,0.42324169476564105,-3.090462288767591,0.0423241694765597,-0.3080940757542505,248.7241297288714,4.1023401181885655
"220","epsilon1","preserving","plus",15,0.001,0.5239751042900839,-0.08151262363119871,-1.7620634073020054,0.2882844551937868,3.3670865994313663,-3.3628761994128817,3.536684777785104,-0.3362876199413001,0.3549237311356812,247.78282924820166,4.129623421913792
"220","epsilon1","preserving","minus",13,0.001,0.5239751042900839,-0.08151262363119871,-0.7423024481541209,-0.9784880261326085,2.3161277899265396,-1.4166750329862359,-12.004128717040771,-0.14166750329862587,-1.1861738876756234,248.26669164885598,4.066206973716899
"220","epsilon2","preserving","plus",14,0.001,0.5239751042900839,-0.08151262363119871,-1.3491972749786294,-0.1400523071047679,2.5579943098732336,-2.5749262969404074,-1.7181670870812618,-0.25749262969404496,-0.17152200524401806,247.9787284892373,4.107960083808482
"220","epsilon2","preserving","minus",11,0.001,0.5239751042900839,-0.08151262363119871,-1.6505612647870267,-0.8233384362941354,3.478397379671689,-3.1500757407612263,-10.100747585052643,-0.31500757407612046,-0.9999742708043269,247.83573546496888,4.073869121924427
"220","epsilon3","breaking","plus",12,0.001,0.5239751042900839,-0.08151262363119871,0.34750025573049015,-0.17496882503149144,0.733698202057353,0.6631999361903015,-2.1465242711746386,0.06631999361901286,-0.21419265737969706,248.7837878838224,4.106204178687574
"220","epsilon3","breaking","minus",12,0.001,0.5239751042900839,-0.08151262363119871,-0.34750025573049015,0.17496882503149144,0.733698202057353,-0.6631999361903015,2.1465242711746386,-0.06631999361903507,0.21511417491495433,248.45401980149413,4.1238702331661905
"221","lambda_ev","preserving","plus",11,0.001,0.5119411472039419,-0.24652857506304895,-0.32854609428237713,-0.3085660838740776,0.7932447165336246,-0.6417653593128632,-1.251644292330667,-0.0641765359312707,-0.12500796372877376,242.75306791972312,1.3588957153374535
"221","lambda_ev","preserving","minus",10,0.001,0.5119411472039419,-0.24652857506304895,-0.05413791626428466,0.7187283850384056,1.268487496483097,-0.10575027336632066,2.915395851594863,-0.010575027336634513,0.2923920236522992,242.88327078597712,1.3645748452464506
"221","lambda_odd","breaking","plus",10,0.001,0.5119411472039419,-0.24652857506304895,0.1961276875395313,0.5108907601356811,0.9631045445439879,0.38310592655174863,2.072338916513116,0.038310592655177444,0.20766424234228698,243.00201833634313,1.3634220419606151
"221","lambda_odd","breaking","minus",10,0.001,0.5119411472039419,-0.24652857506304895,-0.1961276875395313,-0.5108907601356811,0.9631045445439879,-0.38310592655174863,-2.072338916513116,-0.03831059265516634,-0.2068053209365872,242.81589861313478,1.3577827833014213
"221","epsilon1","preserving","plus",12,0.001,0.5119411472039419,-0.24652857506304895,-1.024303178462043,-0.02016243433610887,1.8030404404600768,-2.0008221336699696,-0.08178538463929542,-0.20008221336698107,-0.008177869633718693,242.422940854156,1.3604853015897416
"221","epsilon1","preserving","minus",11,0.001,0.5119411472039419,-0.24652857506304895,-3.7575196678147087,-2.172743452747653,7.638896124623422,-7.339749282387388,-8.813353389934536,-0.7339749282387231,-0.8736356790202016,241.12606762108854,1.348709912325595
"221","epsilon2","preserving","plus",13,0.001,0.5119411472039419,-0.24652857506304895,-1.4797169787299416,-0.5959321851771227,2.8074427541789277,-2.890404467020634,-2.4172945672716226,-0.2890404467020602,-0.2411465345193431,242.20685333608424,1.3573155379275228
"221","epsilon2","preserving","minus",10,0.001,0.5119411472039419,-0.24652857506304895,-4.052027670145436,-1.3227679567078652,7.5016030004807055,-7.915026350736427,-5.365576612648539,-0.7915026350736487,-0.5336940847653349,240.98632766758143,1.353335145995002
"221","epsilon3","breaking","plus",11,0.001,0.5119411472039419,-0.24652857506304895,-0.06278032101635711,-0.34307245105039064,0.6138060540393329,-0.12263191063903157,-1.3916133290538466,-0.012263191063899281,-0.13896794326322404,242.87917008504985,1.3587057763348183
"221","epsilon3","breaking","minus",11,0.001,0.5119411472039419,-0.24652857506304895,0.06278032101635711,0.34307245105039064,0.6138060540393329,0.12263191063903157,1.3916133290538466,0.012263191063910384,0.1393552615448268,242.93874686442805,1.3624926323112903
"222","lambda_ev","preserving","plus",11,0.001,0.48974691177363056,-0.41645075793654246,-0.3197335961849084,0.34829911969083294,0.7354539865977713,-0.6528547470100122,0.8363512685547945,-0.06528547470099344,0.0837051337502892,232.22639311106812,0.8061137981362865
"222","lambda_ev","preserving","minus",10,0.001,0.48974691177363056,-0.41645075793654246,0.7359651083845684,1.364790310463329,2.411960354333158,1.5027457870418264,3.277194925099144,0.15027457870417926,0.32879702444983394,232.7273074723979,0.8080878652897775
"222","lambda_odd","breaking","plus",11,0.001,0.48974691177363056,-0.41645075793654246,0.5499780514160304,0.44052927659907004,1.0961097423928001,1.1229842153047402,1.057818405186326,0.11229842153048786,0.10589385698953624,232.63905919904707,0.8062925149008416
"222","lambda_odd","breaking","minus",11,0.001,0.48974691177363056,-0.41645075793654246,-0.5499780514160304,-0.44052927659907004,1.0961097423928001,-1.1229842153047402,-1.057818405186326,-0.11229842153046565,-0.1056700607834471,232.11714531741012,0.8045884953196654
"222","epsilon1","preserving","plus",11,0.001,0.48974691177363056,-0.41645075793654246,-1.3606971587105434,-0.8687886626563515,2.51123581776085,-2.778368022337793,-2.0861738059046466,-0.2778368022337774,-0.2081830745135793,231.73247036982278,0.8037628149079944
"222","epsilon1","preserving","minus",11,0.001,0.48974691177363056,-0.41645075793654246,-10.250706073264082,1.624186319294509,16.144109379218854,-20.930619115373073,3.900068107312696,-2.0930619115372973,0.39153381929282194,227.5142847091084,0.808593172281622
"222","epsilon2","preserving","plus",12,0.001,0.48974691177363056,-0.41645075793654246,-2.357036097773996,-1.662465272364038,4.486651626339534,-4.812763574634767,-3.99198522437882,-0.4812763574634671,-0.39761126414636916,231.25972139213744,0.8022370852478574
"222","epsilon2","preserving","minus",11,0.001,0.48974691177363056,-0.41645075793654246,-7.724020335804365,2.5186544762840377,12.637511917188162,-15.77145286701581,6.0479046520737105,-1.5771452867015756,0.6084704363902738,228.71316197113634,0.8103404657109525
"222","epsilon3","breaking","plus",11,0.001,0.48974691177363056,-0.41645075793654246,-0.9362832286719218,-0.10653131037726027,1.46580603737137,-1.911769540886228,-0.25580769958279964,-0.19117695408861213,-0.025574227873870203,231.93384888036238,0.8052336188789435
"222","epsilon3","breaking","minus",11,0.001,0.48974691177363056,-0.41645075793654246,0.9362832286719218,0.10653131037726027,1.46580603737137,1.911769540886228,0.25580769958279964,0.19117695408863433,0.0255873153905517,232.8223556360948,0.8056456942103303
"330","lambda_ev","preserving","plus",10,0.001,0.8309133901874438,-0.08369849361296812,0.46086395854299594,-0.25487528788552644,0.6306255886926324,0.5546474084850537,-3.0451597977868077,0.05546474084849873,-0.3035914951626695,394.47552766619964,3.995383840841786
"330","lambda_ev","preserving","minus",10,0.001,0.8309133901874438,-0.08369849361296812,-0.3255564198502755,0.2503739062103227,0.49178603487065353,-0.39180548020394035,2.9913788815373628,-0.03918054802040105,0.30003540773617665,394.10238212772873,4.019574493342797
"330","lambda_odd","breaking","plus",10,0.001,0.8309133901874438,-0.08369849361296812,-0.39674048189271405,0.25701628498560225,0.5660467354925414,-0.4774751334831832,3.0707396739310076,-0.047747513348317394,0.3080198160626324,394.068606279733,4.0198944725324655
"330","lambda_odd","breaking","minus",10,0.001,0.8309133901874438,-0.08369849361296812,0.39674048189271405,-0.25701628498560225,0.5660467354925414,0.4774751334831832,-3.0707396739310076,0.047747513348328496,-0.3061339098505922,394.4451019678319,3.995281952291203
"330","epsilon1","preserving","plus",9,0.001,0.8309133901874438,-0.08369849361296812,-4.70234271188859,-0.06120254034534897,5.631227616583266,-5.659245316563979,-0.7312263065134346,-0.5659245316563921,-0.07306920052971844,392.02565786855916,4.004622138035667
"330","epsilon1","preserving","minus",10,0.001,0.8309133901874438,-0.08369849361296812,-1.8149549533702962,-1.0969873710586295,2.5394218142322598,-2.184288970190822,-13.106417137340975,-0.21842889701907398,-1.2936861237514363,393.39568322589776,3.9557052993647788
"330","epsilon2","preserving","plus",14,0.001,0.8309133901874438,-0.08369849361296812,-2.551663833780382,-0.430429671974859,3.0986185235279575,-3.0709143262268985,-5.142621490480073,-0.3070914326226859,-0.5116310243470035,393.0461251022406,3.987046551809763
"330","epsilon2","preserving","minus",13,0.001,0.8309133901874438,-0.08369849361296812,-4.72738012353722,-1.1440995572950723,5.824151359425044,-5.6893777129657055,-13.669296876303724,-0.5689377712965626,-1.3484966860914716,392.0137779647466,3.953508738441822
"330","epsilon3","breaking","plus",10,0.001,0.8309133901874438,-0.08369849361296812,1.4195884725278003,-0.08715292660557572,1.7030656936770963,1.7084674399188087,-1.041272343664646,0.1708467439918815,-0.10401892233941057,394.9304291220177,4.003381812328337
"330","epsilon3","breaking","minus",10,0.001,0.8309133901874438,-0.08369849361296812,-1.4195884725278003,0.08715292660557572,1.7030656936770963,-1.7084674399188087,1.041272343664646,-0.1708467439918704,0.10423577219327296,393.58327912554716,4.011727724220187
"440","lambda_ev","preserving","plus",8,0.001,1.125431906824053,-0.08511848490525467,0.6944112413518443,-0.26104914042590444,0.6572992115040142,0.6170175531200811,-3.0668912953100382,0.06170175531201583,-0.30575142315280024,534.3312850046952,3.9286456319993173
"440","lambda_ev","preserving","minus",9,0.001,1.125431906824053,-0.08511848490525467,-0.4728473882735997,0.29086152687002653,0.49186735588936625,-0.42014748773914345,3.4171370319124486,-0.04201474877389977,0.34288538955358216,533.7774370095857,3.9542064263015946
"440","lambda_odd","breaking","plus",8,0.001,1.125431906824053,-0.08511848490525467,-0.6105184203292064,0.276977303202661,0.5939945847987544,-0.5424747749084861,3.254020598592236,-0.05424747749082082,0.3264643816819124,533.7121140184736,3.9535593245703615
"440","lambda_odd","breaking","minus",8,0.001,1.125431906824053,-0.08511848490525467,0.6105184203292064,-0.276977303202661,0.5939945847987544,0.5424747749084861,-3.254020598592236,0.054247477490854124,-0.32434662924655244,534.2914790272124,3.9279128517613477
"440","epsilon1","preserving","plus",6,0.001,1.125431906824053,-0.08511848490525467,-10.135029924918234,-0.6895982658772374,9.000574121570244,-9.005458138750562,-8.101627591760224,-0.9005458138750533,-0.8036518710037188,529.1928656982388,3.9090248971270123
"440","epsilon1","preserving","minus",7,0.001,1.125431906824053,-0.08511848490525467,-3.00751344656147,-1.3349637112414827,2.915423051507937,-2.6723193365368627,-15.683593437165028,-0.2672319336536777,-1.5441416538087616,532.5747731962496,3.8798444580115627
"440","epsilon2","preserving","plus",9,0.001,1.125431906824053,-0.08511848490525467,-3.46661540000927,-0.8526736879790654,3.1630289427724976,-3.0802533489493746,-10.017491370155094,-0.30802533489494577,-0.9918136523126675,532.3569357007584,3.9016100164212433
"440","epsilon2","preserving","minus",7,0.001,1.125431906824053,-0.08511848490525467,-9.695565705882093,-1.6096590043345715,8.70802186323746,-8.614973191263779,-18.910804229260915,-0.8614973191263697,-1.8559823049050683,529.401385361712,3.867555771058223
"440","epsilon3","breaking","plus",7,0.001,1.125431906824053,-0.08511848490525467,3.477687314428699,-0.007694127841177956,3.0812986193868483,3.090091273707234,-0.09039314844175485,0.3090091273707296,-0.009038497825908376,535.6519108144222,3.9403381815163008
"440","epsilon3","breaking","minus",7,0.001,1.125431906824053,-0.08511848490525467,-3.477687314428699,0.007694127841177956,3.0812986193868483,-3.090091273707234,0.09039314844175485,-0.3090091273707074,0.009040132010174062,532.3516822312638,3.941050605062814
