"mode","largest_operator","largest_polarization","maximum_relative_complex_sensitivity_per_alpha","example_frequency_shift_percent_at_max","example_tau_shift_percent_at_max"
"220","epsilon2","minus",3.478397379671689,-0.31500757407612046,-0.9999742708043269
"221","epsilon1","minus",7.638896124623422,-0.7339749282387231,-0.8736356790202016
"222","epsilon1","minus",16.144109379218854,-2.0930619115372973,0.39153381929282194
"330","epsilon2","minus",5.824151359425044,-0.5689377712965626,-1.3484966860914716
"440","epsilon1","plus",9.000574121570244,-0.9005458138750533,-0.8036518710037188
