"mode","source","Momega_re","Momega_im","f_Hz","tau_ms","Q"
"220","Python qnm numerical Kerr sequence",0.5239751042900839,-0.08151262363119871,248.61890384265828,4.115018245619526,3.214073360347182
"221","Python qnm numerical Kerr sequence",0.5119411472039419,-0.24652857506304895,242.90895847473897,1.3605965694034283,1.0382998138715045
"222","Python qnm numerical Kerr sequence",0.48974691177363056,-0.41645075793654246,232.37810225822858,0.8054396038386157,0.5880009850387362
"330","Python qnm numerical Kerr sequence",0.8309133901874438,-0.08369849361296812,394.25685412378243,4.0075504230906445,4.9637296582044055
"440","Python qnm numerical Kerr sequence",1.125431906824053,-0.08511848490525467,534.0017965228429,3.9406943610904532,6.610972387941177
