gamma,fit_t_start,fit_t_stop,rank,td_Momega_real,td_Momega_imag_abs,root_abs
0.0,60.0,120.0,8,0.34421331384565057,0.2736791496761508,0.9467352140248526
0.0,60.0,120.0,8,0.37369944481108547,0.08894189166008057,0.9823689009081658
0.02,60.0,120.0,8,0.34469873351936137,0.2732808979891332,0.9468106248072886
0.02,60.0,120.0,8,0.37402438451703074,0.08879834021103829,0.9823971054088874
0.04,60.0,120.0,8,0.34521279791919735,0.2728936748080635,0.9468839530510933
0.04,60.0,120.0,8,0.3743512106714693,0.08865276084719612,0.9824257091744264
0.06,60.0,120.0,8,0.34573185456697536,0.27248134301007004,0.9469620423434895
0.06,60.0,120.0,8,0.3746799536284439,0.08850510011620247,0.9824547227425134
0.08,60.0,120.0,8,0.3462603434216768,0.27202795458409273,0.9470479145627453
0.08,60.0,120.0,8,0.37501063517757444,0.08835531036535894,0.9824841555130109
0.1,60.0,120.0,8,0.11195278471957638,0.14934123877830202,0.9705734003487462
0.1,60.0,120.0,8,0.34749106599174456,0.2708287332708392,0.94727508581328
0.1,60.0,120.0,8,0.375343293400373,0.08820345274937091,0.9825139955064721
1.18,60.0,120.0,8,0.16367971071176896,0.2478122552661299,0.9516457250028255
1.18,60.0,120.0,8,0.36965268949903773,0.22574299138571005,0.9558554328087283
1.18,60.0,120.0,8,0.3962491906466162,0.07418035971996179,0.9852734403251595
