case,gamma,ell,n,horizon_outer,r_peak,x_min,x_max,reference_source,reference_Momega_real,reference_Momega_imag_abs,fit_t_start,fit_t_stop,fit_width,td_Momega_real,td_Momega_imag_abs,delta_real_pct,delta_imag_pct,relative_residual
hayward_gamma_0.1_axial_l2_n0,0.1,2,0,1.9743460981747907,3.255109558528509,-39.575308925529484,709.3793651873787,Bolokhov_Skvortsova_2025_Table_V_Prony,0.375316,0.088223,120.0,260.0,140.0,0.37553076027315474,0.0875899266998678,0.057221187787026694,-0.7175830567223908,0.0032897081659481477
hayward_gamma_0.35_axial_l2_n0,0.35,2,0,1.9033923778692245,3.1867095698879258,-42.66771189037195,709.5382864932023,Bolokhov_Skvortsova_2025_Table_V_Prony,0.379646,0.086115,110.0,250.0,140.0,0.3796047075012066,0.08625868796020054,-0.010876579443314575,0.16685590222440635,0.0009033550795370354
hayward_gamma_0.6_axial_l2_n0,0.6,2,0,1.8185793390134948,3.1108938483215436,-47.52506955603713,709.7192835008067,Bolokhov_Skvortsova_2025_Table_V_Prony,0.384318,0.083517,130.0,270.0,140.0,0.3843064630511475,0.08340642288089212,-0.0030019277922125032,-0.13240073171674863,0.0010169160722994233
hayward_gamma_0.85_axial_l2_n0,0.85,2,0,1.708957511517133,3.025136647396402,-56.952398746300915,709.9307811920705,Bolokhov_Skvortsova_2025_Table_V_Prony,0.389335,0.080214,140.0,280.0,140.0,0.38930727592432957,0.08031058625316403,-0.007120879363638286,0.12041071778497646,0.0007794809262790437
hayward_gamma_1.1_axial_l2_n0,1.1,2,0,1.5302468618017229,2.9251087935685236,-93.65933944773788,710.1876665624143,Bolokhov_Skvortsova_2025_Table_V_Prony,0.394567,0.075869,170.0,310.0,140.0,0.394515886367287,0.07611315731829926,-0.01295436078358926,0.3218143356301741,0.0016945222864315334
hayward_gamma_1.18_axial_l2_n0,1.18,2,0,1.3836225158105173,2.8888911738253977,-301.31359081230926,710.2836760809822,Bolokhov_Skvortsova_2025_Table_V_Prony,0.396224,0.074198,130.0,270.0,140.0,0.396280281995008,0.07412990749393451,0.01420459008236661,-0.0917713497203252,0.00038086654885221216
