name,sector,fit_t_start,fit_t_stop,fit_width,td_Momega_real,td_Momega_imag_abs,relative_residual
Schwarzschild_scalar_l2,scalar,40.0,100.0,60.0,0.47866739085171167,0.09574269544316383,0.02813438541033792
Schwarzschild_scalar_l2,scalar,50.0,110.0,60.0,0.48359172775793374,0.09802328811547881,0.005570598969500614
Schwarzschild_scalar_l2,scalar,60.0,120.0,60.0,0.4831534528834801,0.09468003528585531,0.011402762192977024
Schwarzschild_scalar_l2,scalar,70.0,130.0,60.0,0.48384924637014015,0.0960424326145809,0.003471568752434778
Schwarzschild_scalar_l2,scalar,80.0,140.0,60.0,0.4836494929008631,0.09658757978260045,0.0008848908428465116
Schwarzschild_scalar_l2,scalar,90.0,150.0,60.0,0.4839167465551784,0.09404957139705157,0.013603910538262433
Schwarzschild_scalar_l2,scalar,100.0,160.0,60.0,0.4840516904995567,0.09795698017155083,0.007130070302591858
Schwarzschild_scalar_l2,scalar,110.0,170.0,60.0,0.48383488070189473,0.09227196251871096,0.022494684077880026
Schwarzschild_scalar_l2,scalar,120.0,180.0,60.0,0.4841671517070902,0.09880924793925606,0.01149792743172183
Schwarzschild_scalar_l2,scalar,130.0,190.0,60.0,0.4833466843727804,0.09143956144556753,0.02727254120751827
Schwarzschild_scalar_l2,scalar,140.0,200.0,60.0,0.4838558395532738,0.09886321380383077,0.010837254508237625
Schwarzschild_scalar_l2,scalar,150.0,210.0,60.0,0.48308483523704265,0.09162505967766742,0.026253960921753285
Schwarzschild_scalar_l2,scalar,160.0,220.0,60.0,0.48392066374696935,0.0985947322010351,0.01017505417597369
Schwarzschild_scalar_l2,scalar,40.0,110.0,70.0,0.4787756226369312,0.0963220944921582,0.025957898731490882
Schwarzschild_scalar_l2,scalar,50.0,120.0,70.0,0.48358484230773846,0.0979028712126666,0.004996197103210748
Schwarzschild_scalar_l2,scalar,60.0,130.0,70.0,0.4832257378040941,0.09495578752456518,0.009867703582801755
Schwarzschild_scalar_l2,scalar,70.0,140.0,70.0,0.4838220963419247,0.09615975377151396,0.0028534778192712868
Schwarzschild_scalar_l2,scalar,80.0,150.0,70.0,0.4836518522862966,0.09659552798307271,0.0008452525853907436
Schwarzschild_scalar_l2,scalar,90.0,160.0,70.0,0.4838694091361623,0.09445388210855218,0.011527704090711443
Schwarzschild_scalar_l2,scalar,100.0,170.0,70.0,0.4839936653960295,0.09776069175351683,0.006011067668319801
Schwarzschild_scalar_l2,scalar,110.0,180.0,70.0,0.48381095110900424,0.09292148902688849,0.019133202111634315
Schwarzschild_scalar_l2,scalar,120.0,190.0,70.0,0.4840982164642791,0.09850766158417577,0.009844033878882835
Schwarzschild_scalar_l2,scalar,130.0,200.0,70.0,0.48337837887951246,0.09220958720289821,0.023266412366268925
Schwarzschild_scalar_l2,scalar,140.0,210.0,70.0,0.4838084689758257,0.09854108583735707,0.00918162057066719
Schwarzschild_scalar_l2,scalar,150.0,220.0,70.0,0.4831801975488746,0.09232135570978758,0.022529874044235593
Schwarzschild_scalar_l2,scalar,160.0,230.0,70.0,0.48392544575106256,0.09835188240038184,0.009107797081214572
Schwarzschild_scalar_l2,scalar,40.0,120.0,80.0,0.4788608749212987,0.09677013454321046,0.0243914457509708
Schwarzschild_scalar_l2,scalar,50.0,130.0,80.0,0.4835853461518198,0.09779926916652117,0.004494425141255345
Schwarzschild_scalar_l2,scalar,60.0,140.0,80.0,0.48328478445967765,0.09517920215916248,0.008618344206399129
Schwarzschild_scalar_l2,scalar,70.0,150.0,80.0,0.48380811628334636,0.09623009541559827,0.0024863925394367306
Schwarzschild_scalar_l2,scalar,80.0,160.0,80.0,0.48365834870511754,0.09661724821964388,0.0007277454934153163
