name,sector,ell,reference_source,reference_Momega_real,reference_Momega_imag_abs,fit_t_start,fit_t_stop,fit_width,td_Momega_real,td_Momega_imag_abs,delta_real_pct,delta_imag_pct,relative_residual
Schwarzschild_scalar_l2,scalar,2,qnm,0.48364387221071264,0.09675877597828755,80.0,180.0,100.0,0.48366727227171236,0.09664687353753926,0.004838283361836364,-0.11565094702459514,0.000571489658838014
Schwarzschild_EM_l2,electromagnetic,2,qnm,0.45759551162985274,0.0950044258194723,100.0,200.0,100.0,0.45768060507928027,0.09506722248524155,0.018595778862525874,0.06609867406448575,0.0006130149827816834
Schwarzschild_ReggeWheeler_l2,gravitational_odd,2,qnm,0.37367168441804177,0.08896231568893546,50.0,150.0,100.0,0.3731326236407868,0.0893467132347538,-0.14426053665117783,0.4320903101965211,0.0025590530746881163
Schwarzschild_Zerilli_l2,gravitational_even,2,qnm,0.37367168441804177,0.08896231568893546,160.0,220.0,60.0,0.37359322931688466,0.08899402523519155,-0.020995730859110155,0.035643795926987784,0.0013933413541635717
