"projection","operator","polarization","empirical_median","empirical_q05","empirical_q95","gaussian_best","gaussian_q05","gaussian_q95","median_minus_gaussian_best","empirical_sd_over_gaussian_sigma","zero_inside_empirical_90pct"
"RINGDOWN","lambda_ev","plus",-0.1425049780227527,-0.6290635827699719,0.3000450672032062,-0.1461943992394537,-0.6297114760352492,0.3373226775563418,0.0036894212167010165,1.000000000000528,1
"RINGDOWN","lambda_ev","minus",-0.8648181750351586,-3.817590284778865,1.8208797408160087,-0.887208119357414,-3.8215221465620677,2.04710590784724,0.022389944322255384,0.9999999999868328,1
"RINGDOWN","lambda_odd","plus",0.23871353429333875,-0.5026295362925496,1.0537705242031248,0.24489963389876312,-0.5650708964868022,1.0548701642843286,-0.006186099605424378,0.9999999999979774,1
"RINGDOWN","lambda_odd","minus",-0.23871924730418578,-1.0537848366342573,0.5026247755963337,-0.24489963389876312,-1.0548701642843286,0.5650708964868022,0.006180386594577342,0.9999999999979774,1
"RINGDOWN","epsilon1","plus",-0.04570858992348101,-0.20177266604858587,0.09623970422473198,-0.046891974839671724,-0.20198047835603844,0.10819652867669499,0.0011833849161907162,0.9999999999668504,1
"RINGDOWN","epsilon1","minus",-0.012460201964112766,-0.05500340688682092,0.026235028330666967,-0.01278279373689336,-0.055060056703917164,0.029494469230130445,0.00032259177278059353,0.999999999999829,1
"RINGDOWN","epsilon2","plus",-0.03164081687157224,-0.1396729145828714,0.06661992553743208,-0.03245999036779637,-0.1398167683088452,0.07489678757325247,0.0008191734962241307,1.000000000006982,1
"RINGDOWN","epsilon2","minus",-0.011554574093830094,-0.051005669259398846,0.02432822353711102,-0.0118537193686361,-0.05105820167514835,0.027350762937876152,0.000299145274806005,0.9999999999981097,1
"RINGDOWN","epsilon3","plus",-0.7457663992105747,-3.292056807464111,1.5702155284258166,-0.7650741203460614,-3.2954474049871707,1.765299164295048,0.019307721135486622,1.0000000000061962,1
"RINGDOWN","epsilon3","minus",0.7457485515879101,-1.5702304009898507,3.2920120949801612,0.7650741203460614,-1.765299164295048,3.2954474049871707,-0.01932556875815128,1.0000000000061962,1
"PYRING_DELTA","lambda_ev","plus",-0.2670722795602076,-0.5591670346618585,0.17184275285183975,-0.23689538823056303,-0.6215175676948979,0.14772679123377178,-0.0301768913296446,1.0000000000000009,1
"PYRING_DELTA","lambda_ev","minus",0.02532050286724263,-0.2704987751852911,0.20014781537018922,0.002645660191536755,-0.24474543640992022,0.25003675679299375,0.022674842675705874,1.0000000000000024,1
"PYRING_DELTA","lambda_odd","plus",0.14935079680442692,-0.24981750863261998,0.37043788385650206,0.11570286973678291,-0.21065638511203766,0.44206212458560346,0.03364792706764401,1.0000000000000004,1
"PYRING_DELTA","lambda_odd","minus",-0.1493649265504368,-0.37043788385650206,0.24981750863261998,-0.11570286973678291,-0.44206212458560346,0.21065638511203766,-0.033662056813653876,1.0000000000000004,1
"PYRING_DELTA","epsilon1","plus",-0.12431293910092225,-0.27010322240134965,0.05060940679635594,-0.11955226450879727,-0.2804737918399499,0.04136926282235537,-0.0047606745921249805,0.9999999999999997,1
"PYRING_DELTA","epsilon1","minus",-0.029700256394434417,-0.06125909713231575,0.013458896888344611,-0.027257077642481753,-0.0664183672377246,0.011904211952761097,-0.002443178751952664,1,1
"PYRING_DELTA","epsilon2","plus",-0.08193007248008138,-0.17022419212713058,0.034711375158813576,-0.07656080743810888,-0.18193181702643207,0.028810202150214334,-0.005369265041972507,1,1
"PYRING_DELTA","epsilon2","minus",-0.030694134641539205,-0.06429208972329407,0.012809946761707242,-0.028895506472570304,-0.06814277228392662,0.010351759338786015,-0.0017986281689689014,0.999999999999999,1
"PYRING_DELTA","epsilon3","plus",-0.16494336416305494,-0.5057575918576305,0.47096560345604677,-0.11079039395312433,-0.6247775198493655,0.40319673194311684,-0.05415297020993061,1.000000000000002,1
"PYRING_DELTA","epsilon3","minus",0.16492241354959927,-0.47096560345604677,0.5057575918576305,0.11079039395312433,-0.40319673194311684,0.6247775198493655,0.05413201959647494,1.000000000000002,1
