"projection","parameter","observed_mean","baseline_value","residual","posterior_sigma"
"RINGDOWN","ln_f220",5.524747501409889,5.515921217386985,0.008826284022903863,0.032976315559657916
"RINGDOWN","ln_f221",5.595928552892596,5.492686716656718,0.10324183623587846,0.16185655169592764
"RINGDOWN","df221",0.09382250115731594,0,0.09382250115731594,0.18865174714583885
"PYRING_DELTA","df221_log",0.23945757245936086,0,0.23945757245936086,0.19575697955557836
"PYRING_DELTA","dtau221_log",0.06695584126597573,0,0.06695584126597573,0.44112739988441646
