mode,l,m,n,theory,operator,derivative_order,parity,branch,k,coefficient_re,coefficient_im,maximum_fit_order,source_file,source_commit,source_repository,source_paper,license
220,2,2,0,cubic_even,lambda_ev,6,preserving,minus,8,-0.013392,-0.29425,10,cubic_even_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_even,lambda_ev,6,preserving,minus,9,-0.2198,-0.097137,10,cubic_even_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_even,lambda_ev,6,preserving,minus,10,-0.021756,0.015813,10,cubic_even_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,plus,0,0.19707,-0.15085,11,cubic_odd_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,plus,1,-0.44696,-0.49179,11,cubic_odd_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,plus,2,-1.3765,0.62739,11,cubic_odd_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,plus,3,0.12842,2.1102,11,cubic_odd_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,plus,4,2.079,0.47013,11,cubic_odd_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,plus,5,0.77087,-1.4881,11,cubic_odd_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_odd,lambda_odd,6,breaking,plus,6,-0.57346,-0.66507,11,cubic_odd_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
