source_paper,source_table,metric_family,perturbation_model,s,l,m,n,spin_a,alpha,h0,re_momega,minus_im_momega,notes
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.8,0.1,1.0,0.588656,0.075563,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.8,0.5,1.0,0.600233,0.075057,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.8,1.0,1.0,0.617659,0.073752,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.9,0.0,1.0,0.671614,0.064869,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.9,0.1,1.0,0.677072,0.064026,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.9,0.5,1.0,0.703157,0.059362,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.9,1.0,1.0,0.75333,0.048227,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.1,0.5,0.5,0.397183,0.095178,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.1,0.5,1.0,0.38957,0.090307,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.1,0.5,1.5,0.387063,0.088734,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.1,0.5,1.99,0.387017,0.088706,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.2,0.5,0.5,0.413525,0.095024,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.2,0.5,1.0,0.405023,0.08998,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.2,0.5,1.5,0.402195,0.088333,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.2,0.5,1.99,0.402145,0.088311,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.3,0.5,0.5,0.432555,0.094764,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.3,0.5,1.0,0.422858,0.089476,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.3,0.5,1.5,0.419576,0.08772,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.3,0.5,1.99,0.419527,0.087729,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.4,0.5,0.5,0.455153,0.094289,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.4,0.5,1.0,0.443813,0.088683,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.4,0.5,1.5,0.439877,0.086787,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.4,0.5,1.99,0.439842,0.086882,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.5,0.5,0.5,0.482712,0.093406,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.5,0.5,1.0,0.469026,0.08741,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.5,0.5,1.5,0.464125,0.08537,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.5,0.5,1.99,0.464123,0.085639,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.6,0.5,0.5,0.517632,0.091731,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.6,0.5,1.0,0.500398,0.08532,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.6,0.5,1.5,0.493995,0.083205,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.6,0.5,1.99,0.494045,0.083765,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.7,0.5,0.5,0.564612,0.088411,
"Zhen Li, arXiv:2212.08112",table2,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.7,0.5,1.0,0.541479,0.081742,
