"scenario","description","delta_f_bound","domega_lower","samples","df221_mean","dtau221_mean","df221_sigma","dtau221_sigma","df_dtau_correlation","operator","polarization","dlnf221_dalpha","dlntau221_dalpha","alpha_best","alpha_sigma","alpha_q05","alpha_q95","zero_inside_90pct","sigma_from_alpha0","chi2_best","chi2_alpha0"
"strict_df_bound_0p5","stricter lower-tail cut than the public Figure 4 script",0.5,-0.3934693402873666,61594.,0.24282527432750498,0.06901339947173113,0.1884710072964904,0.43891383748663426,0.00800576631995036,"lambda_ev","plus",-0.6417653593128632,-1.251644292330667,-0.24534860054615917,0.2260344866474157,-0.617142245724275,0.1264450446319567,1.,1.0854476420178794,0.50335494100089,1.6815515245630641
"strict_df_bound_0p5","stricter lower-tail cut than the public Figure 4 script",0.5,-0.3934693402873666,61594.,0.24282527432750498,0.06901339947173113,0.1884710072964904,0.43891383748663426,0.00800576631995036,"lambda_ev","minus",-0.10575027336632066,2.915395851594863,0.005701671262951942,0.14991062009598705,-0.24087935592047663,0.2522826984463805,1.,0.038033804805164606,1.6801049542551068,1.6815515245630641
"strict_df_bound_0p5","stricter lower-tail cut than the public Figure 4 script",0.5,-0.3934693402873666,61594.,0.24282527432750498,0.06901339947173113,0.1884710072964904,0.43891383748663426,0.00800576631995036,"lambda_odd","plus",0.38310592655174863,2.072338916513116,0.12599723192620693,0.19509597130323406,-0.19490708407553792,0.4469015479279518,1.,0.6458218029032069,1.2644657234579155,1.6815515245630641
"strict_df_bound_0p5","stricter lower-tail cut than the public Figure 4 script",0.5,-0.3934693402873666,61594.,0.24282527432750498,0.06901339947173113,0.1884710072964904,0.43891383748663426,0.00800576631995036,"lambda_odd","minus",-0.38310592655174863,-2.072338916513116,-0.12599723192620693,0.19509597130323406,-0.4469015479279518,0.19490708407553792,1.,0.6458218029032069,1.2644657234579155,1.6815515245630641
"strict_df_bound_0p5","stricter lower-tail cut than the public Figure 4 script",0.5,-0.3934693402873666,61594.,0.24282527432750498,0.06901339947173113,0.1884710072964904,0.43891383748663426,0.00800576631995036,"epsilon1","plus",-2.0008221336699696,-0.08178538463929542,-0.1214838046011341,0.09419249017578023,-0.2764166636983571,0.03344905449608891,1.,1.2897398123186186,0.018122741083398706,1.6815515245630641
"strict_df_bound_0p5","stricter lower-tail cut than the public Figure 4 script",0.5,-0.3934693402873666,61594.,0.24282527432750498,0.06901339947173113,0.1884710072964904,0.43891383748663426,0.00800576631995036,"epsilon1","minus",-7.339749282387388,-8.813353389934536,-0.02782796340045786,0.022896952465508963,-0.06549009870948573,0.009834171908570014,1.,1.2153566481118732,0.20445974245333684,1.6815515245630641
"strict_df_bound_0p5","stricter lower-tail cut than the public Figure 4 script",0.5,-0.3934693402873666,61594.,0.24282527432750498,0.06901339947173113,0.1884710072964904,0.43891383748663426,0.00800576631995036,"epsilon2","plus",-2.890404467020634,-2.4172945672716226,-0.07778487615966007,0.061523429330845966,-0.17898191203699465,0.023412159717674505,1.,1.2643130756149366,0.08306397139216375,1.6815515245630641
"strict_df_bound_0p5","stricter lower-tail cut than the public Figure 4 script",0.5,-0.3934693402873666,61594.,0.24282527432750498,0.06901339947173113,0.1884710072964904,0.43891383748663426,0.00800576631995036,"epsilon2","minus",-7.915026350736427,-5.365576612648539,-0.029319699381973898,0.022911400731798662,-0.06700559997421154,0.008366201210263744,1.,1.2796991212013145,0.04392168375964767,1.6815515245630641
"strict_df_bound_0p5","stricter lower-tail cut than the public Figure 4 script",0.5,-0.3934693402873666,61594.,0.24282527432750498,0.06901339947173113,0.1884710072964904,0.43891383748663426,0.00800576631995036,"epsilon3","plus",-0.12263191063903157,-1.3916133290538466,-0.12480460468330128,0.3094387292770751,-0.633786020853953,0.38417681148735044,1.,0.4033257406882306,1.5188798714613543,1.6815515245630641
"strict_df_bound_0p5","stricter lower-tail cut than the public Figure 4 script",0.5,-0.3934693402873666,61594.,0.24282527432750498,0.06901339947173113,0.1884710072964904,0.43891383748663426,0.00800576631995036,"epsilon3","minus",0.12263191063903157,1.3916133290538466,0.12480460468330128,0.3094387292770751,-0.38417681148735044,0.633786020853953,1.,0.4033257406882306,1.5188798714613543,1.6815515245630641
